Post ID,Post Date,Post Time,Post Type,Post Visibility,Message Length,People Reached (Lifetime),Organic Reach (Lifetime),Viral Reach (Lifetime),Fan Reach (Lifetime)
15408433177_10156057019923178,101218,18:30:11,photo,Visible,1533,41178,41178,4764,34763
15408433177_10156056421493178,101218,13:30:16,link,Visible,163,32604,32604,1961,29879
15408433177_10156055937778178,101218,9:00:13,link,Visible,103,36366,36366,2501,33042
15408433177_10156054237718178,101118,18:30:06,photo,Visible,1079,35212,35212,4957,29742
15408433177_10156053669883178,101118,13:00:13,link,Visible,196,18403,18403,336,17186
15408433177_10156053307208178,101118,9:30:15,link,Visible,186,99184,99184,40050,59882
15408433177_10156051969433178,101018,18:30:07,photo,Visible,1012,35259,35259,6286,29099
15408433177_10156051421338178,101018,13:30:15,link,Visible,116,38333,38333,2700,34176
15408433177_10156050767793178,101018,8:30:23,link,Visible,103,20339,20339,2859,19065
15408433177_10156049476478178,10918,18:31:08,photo,Visible,1150,31059,31059,3264,26954
15408433177_10156048989853178,10918,14:30:06,link,Visible,157,44967,44967,3783,40482
15408433177_10156048626918178,10918,11:52:30,link,Visible,218,38372,38372,2700,34521
15408433177_10156046827138178,10818,18:30:08,photo,Visible,1516,33165,33165,3660,28566
15408433177_10156044164573178,10718,18:30:06,photo,Visible,2129,37600,37600,3696,32952
15408433177_10156043526478178,10718,13:30:06,link,Visible,221,29500,29500,1953,26663
15408433177_10156041178763178,10618,18:30:08,photo,Visible,1149,33514,33514,3284,29576
15408433177_10156040325853178,10618,13:00:05,link,Visible,138,38179,38179,2514,35119
15408433177_10156038235558178,10518,18:30:07,photo,Visible,1027,38652,38652,7370,31168
15408433177_10156037731018178,10518,13:30:06,link,Visible,149,37196,37196,2041,33797
15408433177_10156035831578178,10418,18:30:07,photo,Visible,1025,29998,29998,3660,25382
15408433177_10156035627988178,10418,16:44:33,photo,Visible,297,11199,11199,100,10738
15408433177_10156034798898178,10418,9:30:17,link,Visible,137,27263,27263,3045,23258
15408433177_10156033514228178,10318,18:29:05,photo,Visible,1290,27604,27604,3402,22936
15408433177_10156033065293178,10318,14:00:06,link,Visible,266,41118,41118,4924,35096
15408433177_10156032675803178,10318,10:25:05,link,Visible,157,37288,37288,5687,30915
15408433177_10156031240523178,10218,18:30:09,photo,Visible,2170,33975,33975,5371,27542
15408433177_10156030111103178,10218,14:00:00,link,Unpublished,446,63235,63235,11443,51497
15408433177_10156030465448178,10218,11:44:55,photo,Visible,408,2612,2612,16,2294
15408433177_10156030415068178,10218,11:25:31,photo,Unpublished,137,22811,22811,1256,20460
15408433177_10156030413283178,10218,11:25:31,video,Unpublished,315,19142,19142,826,17468
15408433177_10156030411503178,10218,11:20:31,video,Unpublished,513,21851,21851,649,20315
15408433177_10156030409353178,10218,11:20:31,photo,Unpublished,397,24506,24506,1784,21707
15408433177_10156030069758178,10218,10:31:00,link,Unpublished,508,30606,30606,669,28950
15408433177_10156030094678178,10218,7:42:46,link,Unpublished,417,42969,42969,3329,38446
15408433177_10156029073938178,10118,18:30:08,photo,Visible,860,72042,72042,40318,30277
15408433177_10156028971668178,10118,17:30:43,video,Visible,425,5779,5779,20,5494
15408433177_10156028606193178,10118,14:00:12,status,Visible,297,16752,16752,773,15465
15408433177_10156028138678178,10118,10:00:21,status,Visible,279,19768,19768,542,18257
15408433177_10156026840823178,93018,18:30:06,photo,Visible,1925,33269,33269,3201,29236
15408433177_10156024546638178,92918,18:30:06,photo,Visible,1364,45165,45165,8176,35401
15408433177_10156021705623178,92918,9:34:00,link,Visible,444,28684,28684,1271,26357
15408433177_10156021942028178,92818,18:30:06,photo,Visible,1393,28465,28465,3299,24664
15408433177_10156021620903178,92818,15:38:13,link,Visible,438,23423,23423,2528,21173
15408433177_10156019293018178,92718,18:30:06,photo,Visible,1796,35026,35026,6902,26952
15408433177_10156018694823178,92718,15:40:01,link,Visible,619,29292,29292,1758,26417
15408433177_10156018570453178,92718,14:09:25,video,Visible,321,23210,23210,314,21855
15408433177_10156018534823178,92718,13:38:20,link,Visible,229,21979,21979,524,20538
15408433177_10156018149133178,92718,9:50:47,photo,Visible,222,4902,4902,24,4607
15408433177_10156016729858178,92618,18:30:07,photo,Visible,1403,54083,54083,14531,37725
15408433177_10156016515958178,92618,16:01:24,status,Visible,245,17316,17316,47,16320
